"area_code","region_name","nuts1","region_label"
"E92000001","England","UK (by parts)","England"
"N92000001","Northern Ireland","UK (by parts)","Northern Ireland"
"S92000003","Scotland","UK (by parts)","Scotland"
"W92000004","Wales","UK (by parts)","Wales"
"E12000007","London","London","London"
"K02000001","United Kingdom","UK","United Kingdom"
"E09000002","Barking and Dagenham","London (all boroughs)","Barking and Dagenham"
"E09000003","Barnet","London (all boroughs)","Barnet"
"E09000004","Bexley","London (all boroughs)","Bexley"
"E09000005","Brent","London (all boroughs)","Brent"
"E09000006","Bromley","London (all boroughs)","Bromley"
"E09000007","Camden","London (all boroughs)","Camden"
"E09000001","City of London","London (all boroughs)","City of London"
"E09000033","City of Westminster","London (all boroughs)","Westminster"
"E09000008","Croydon","London (all boroughs)","Croydon"
"E09000009","Ealing","London (all boroughs)","Ealing"
"E09000010","Enfield","London (all boroughs)","Enfield"
"E09000011","Greenwich","London (all boroughs)","Greenwich"
"E09000012","Hackney","London (all boroughs)","Hackney"
"E09000013","Hammersmith and Fulham","London (all boroughs)","Hammersmith and Fulham"
"E09000014","Haringey","London (all boroughs)","Haringey"
"E09000015","Harrow","London (all boroughs)","Harrow"
"E09000016","Havering","London (all boroughs)","Havering"
"E09000017","Hillingdon","London (all boroughs)","Hillingdon"
"E09000018","Hounslow","London (all boroughs)","Hounslow"
"E09000019","Islington","London (all boroughs)","Islington"
"E09000020","Kensington and Chelsea","London (all boroughs)","Kensington and Chelsea"
"E09000021","Kingston upon Thames","London (all boroughs)","Kingston upon Thames"
"E09000022","Lambeth","London (all boroughs)","Lambeth"
"E09000023","Lewisham","London (all boroughs)","Lewisham"
"E09000024","Merton","London (all boroughs)","Merton"
"E09000025","Newham","London (all boroughs)","Newham"
"E09000026","Redbridge","London (all boroughs)","Redbridge"
"E09000027","Richmond upon Thames","London (all boroughs)","Richmond upon Thames"
"E09000028","Southwark","London (all boroughs)","Southwark"
"E09000029","Sutton","London (all boroughs)","Sutton"
"E09000030","Tower Hamlets","London (all boroughs)","Tower Hamlets"
"E09000031","Waltham Forest","London (all boroughs)","Waltham Forest"
"E09000032","Wandsworth","London (all boroughs)","Wandsworth"
"E12000004","East Midlands","England (by parts)","East Midlands"
"E12000006","East of England","England (by parts)","East of England"
"E12000001","North East","England (by parts)","North East"
"E12000002","North West","England (by parts)","North West"
"E12000008","South East","England (by parts)","South East"
"E12000009","South West","England (by parts)","South West"
"E11000005","West Midlands","England (by parts)","West Midlands"
"E12000003","Yorkshire and The Humber","England (by parts)","Yorkshire and The Humber"
